id;code;name;description;status
1;Trinidad and Tobago Dollar;withdrawal Chief Maryland;monitor;9734
2;Towels Creek Industrial;system visionary;Hat Concrete;9380
3;Analyst Infrastructure impactful;card systems Metal;middleware;88779
4;Sleek Soft Shirt Customer-focused turquoise;Won South Carolina;Gorgeous Refined Frozen Car;55436
5;copy Corporate Courts;Home Loan Account Small Steel Car South Georgia and the South Sandwich Islands;Analyst Engineer moderator;91215
6;content-based Optional;white synergistic;Representative quantify;10583
7;Tugrik bypass morph;input teal;transparent enhance;39206
8;SAS invoice;secondary global;sky blue hard drive Regional;26890
9;Money Market Account Manager Berkshire;Ball;implement;29032
10;Czech Koruna;generate convergence Checking Account;functionalities Gabon Flat;27827
