id;code;name;medical_supplies_type_id;description;status
1;Generic;synthesize fresh-thinking;7731;Toys Alabama;23946
2;Idaho Barbados Dollar;circuit deposit Soft;16101;dedicated Borders;28921
3;Incredible Steel Fish deposit;Visionary;5493;Movies unleash;11370
4;Towels rich copying;context-sensitive Operations mobile;94407;Indian Rupee;33957
5;deposit primary Computer;implementation monitor;82190;Developer Multi-channelled Peru;73414
6;HDD overriding white;Concrete invoice;44844;deposit New Hampshire;60389
7;New Zealand Dollar Finland;payment;55807;parse USB;20192
8;deposit Computer matrices;Checking Account protocol;14896;mobile Corporate;94099
9;white;Pataca Malta Car;18707;Ferry;55450
10;dynamic Exclusive Vermont;Incredible Granite Chicken;45471;Micronesia;8676
