id;code;name;description;status
1;Bridge Regional e-markets;program Cocos (Keeling) Islands;Music Jewelery;42693
2;violet;Division solid state Borders;sky blue synthesize;45367
3;grow;Open-source Zimbabwe PNG;Cambridgeshire connect;23534
4;connecting;Aruba;SMTP Wooden;88757
5;system Car;Jewelery;Madagascar navigating;12615
6;revolutionize Concrete parse;Ethiopian Birr;Small ivory;67774
7;neural;Function-based West Virginia;intuitive;4040
8;wireless;deposit;circuit Oklahoma;36705
9;Balboa US Dollar Investor;Web human-resource;PCI Infrastructure fuchsia;65253
10;ivory;redundant AGP Enterprise-wide;connect;75047
