id;code;name;description;status
1;infrastructure;Tunisia;lime platforms frictionless;68369
2;seize;Eritrea;Legacy Sports Refined;83957
3;drive cross-platform North Dakota;Jamaica matrix;Devolved;96717
4;Industrial Small;sensor Central;Officer;34166
5;invoice Forward synthesize;South Dakota Buckinghamshire Antigua and Barbuda;transmit;59201
6;Automotive Metal executive;Consultant;online;1722
7;navigate Keyboard architectures;Rubber didactic;Architect withdrawal Soft;50341
8;Licensed;JBOD bluetooth Analyst;engage;3165
9;Glen;Licensed fault-tolerant;Credit Card Account solid state dynamic;38485
10;Producer;withdrawal transitional deposit;Mall Rial Omani payment;60637
